,name,min_salary,max_salary,currency,vacancy_url,site_url,company,address
741,Data Scientist (команда Поиска),,,,https://belgorod.hh.ru/vacancy/46048820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::Analytics/Data Science,"Москва, Алексеевская"
742,Python developer,3500.0,,USD,https://belgorod.hh.ru/vacancy/52830122?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Unikoom,Москва
743,Специалист по тестированию,,,,https://belgorod.hh.ru/vacancy/40585500?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::QA,"Москва, Алексеевская"
744,Аналитик данных,,,,https://belgorod.hh.ru/vacancy/46241509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::Департамент коммерческих операций,"Москва, Алексеевская"
745,Специалист DevOps,,,,https://belgorod.hh.ru/vacancy/51911001?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер для экспертов,Москва
746,Data-аналитик (Анализ цены),,,,https://belgorod.hh.ru/vacancy/53032262?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Домклик,Москва
747,Scala разработчик,,,,https://belgorod.hh.ru/vacancy/51882397?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер. IT,Москва
748,DevOps специалист (удалённая работа),200000.0,,руб.,https://belgorod.hh.ru/vacancy/50931935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,EGGНEADS,Москва
749,QA engineer,,,,https://belgorod.hh.ru/vacancy/50585453?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер. IT,Москва
750,Преподаватель курсов программирования (удалённо),,100000.0,руб.,https://belgorod.hh.ru/vacancy/53092413?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Школа программирования Kodland,Москва
751,QA специалист в команду Биллинга,,,,https://belgorod.hh.ru/vacancy/47251783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::QA,Москва
752,Junior разработчик Python Django,40000.0,80000.0,руб.,https://belgorod.hh.ru/vacancy/52203762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Инсейлс Рус,"Москва, Комсомольская"
753,Python разработчик,,380000.0,руб.,https://belgorod.hh.ru/vacancy/49590587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Точка,Москва
754,Junior Data Engineer (Python),150000.0,190000.0,руб.,https://belgorod.hh.ru/vacancy/50637406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,DataFork,"Москва, Выставочная и еще 2 "
755,"Python-разработчик (Django, DRF)",60000.0,150000.0,руб.,https://belgorod.hh.ru/vacancy/39736489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Фабрика Решений,"Москва, Сухаревская"
756,Разработчик Python удаленно,200000.0,,руб.,https://belgorod.hh.ru/vacancy/52878410?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Доверенная среда,Москва
757,Python backend разработчик,190000.0,250000.0,руб.,https://belgorod.hh.ru/vacancy/52296926?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,UAB Softeka,Москва
758,Программист Python,200000.0,270000.0,руб.,https://belgorod.hh.ru/vacancy/52545351?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Seller24,Москва
759,"Разработчик backend (Python), middle",150000.0,,руб.,https://belgorod.hh.ru/vacancy/52609171?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО А17,Москва
760,"Data Analyst \ Аналитик данных (BI, SQL, Python, Data Science)",170000.0,210000.0,руб.,https://belgorod.hh.ru/vacancy/49881796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter:: IT,"Москва, Алексеевская"
761,Data Scientist (команда Поиска),,,,https://belgorod.hh.ru/vacancy/46048820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::Analytics/Data Science,"Москва, Алексеевская"
762,Python developer,3500.0,,USD,https://belgorod.hh.ru/vacancy/52830122?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Unikoom,Москва
763,Специалист по тестированию,,,,https://belgorod.hh.ru/vacancy/40585500?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::QA,"Москва, Алексеевская"
764,Аналитик данных,,,,https://belgorod.hh.ru/vacancy/46241509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::Департамент коммерческих операций,"Москва, Алексеевская"
765,Специалист DevOps,,,,https://belgorod.hh.ru/vacancy/51911001?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер для экспертов,Москва
766,Data-аналитик (Анализ цены),,,,https://belgorod.hh.ru/vacancy/53032262?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Домклик,Москва
767,Scala разработчик,,,,https://belgorod.hh.ru/vacancy/51882397?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер. IT,Москва
768,DevOps специалист (удалённая работа),200000.0,,руб.,https://belgorod.hh.ru/vacancy/50931935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,EGGНEADS,Москва
769,QA engineer,,,,https://belgorod.hh.ru/vacancy/50585453?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер. IT,Москва
770,Преподаватель курсов программирования (удалённо),,100000.0,руб.,https://belgorod.hh.ru/vacancy/53092413?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Школа программирования Kodland,Москва
771,QA специалист в команду Биллинга,,,,https://belgorod.hh.ru/vacancy/47251783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::QA,Москва
772,Junior разработчик Python Django,40000.0,80000.0,руб.,https://belgorod.hh.ru/vacancy/52203762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Инсейлс Рус,"Москва, Комсомольская"
773,Python разработчик,,380000.0,руб.,https://belgorod.hh.ru/vacancy/49590587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Точка,Москва
774,Junior Data Engineer (Python),150000.0,190000.0,руб.,https://belgorod.hh.ru/vacancy/50637406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,DataFork,"Москва, Выставочная и еще 2 "
775,"Python-разработчик (Django, DRF)",60000.0,150000.0,руб.,https://belgorod.hh.ru/vacancy/39736489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Фабрика Решений,"Москва, Сухаревская"
776,Разработчик Python удаленно,200000.0,,руб.,https://belgorod.hh.ru/vacancy/52878410?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Доверенная среда,Москва
777,Python backend разработчик,190000.0,250000.0,руб.,https://belgorod.hh.ru/vacancy/52296926?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,UAB Softeka,Москва
778,Программист Python,200000.0,270000.0,руб.,https://belgorod.hh.ru/vacancy/52545351?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Seller24,Москва
779,"Разработчик backend (Python), middle",150000.0,,руб.,https://belgorod.hh.ru/vacancy/52609171?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО А17,Москва
780,"Data Analyst \ Аналитик данных (BI, SQL, Python, Data Science)",170000.0,210000.0,руб.,https://belgorod.hh.ru/vacancy/49881796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter:: IT,"Москва, Алексеевская"
781,Data Scientist (команда Поиска),,,,https://belgorod.hh.ru/vacancy/46048820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::Analytics/Data Science,"Москва, Алексеевская"
782,Python developer,3500.0,,USD,https://belgorod.hh.ru/vacancy/52830122?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Unikoom,Москва
783,Специалист по тестированию,,,,https://belgorod.hh.ru/vacancy/40585500?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::QA,"Москва, Алексеевская"
784,Аналитик данных,,,,https://belgorod.hh.ru/vacancy/46241509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::Департамент коммерческих операций,"Москва, Алексеевская"
785,Специалист DevOps,,,,https://belgorod.hh.ru/vacancy/51911001?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер для экспертов,Москва
786,Data-аналитик (Анализ цены),,,,https://belgorod.hh.ru/vacancy/53032262?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Домклик,Москва
787,Scala разработчик,,,,https://belgorod.hh.ru/vacancy/51882397?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер. IT,Москва
788,DevOps специалист (удалённая работа),200000.0,,руб.,https://belgorod.hh.ru/vacancy/50931935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,EGGНEADS,Москва
789,QA engineer,,,,https://belgorod.hh.ru/vacancy/50585453?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Сбер. IT,Москва
790,Преподаватель курсов программирования (удалённо),,100000.0,руб.,https://belgorod.hh.ru/vacancy/53092413?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Школа программирования Kodland,Москва
791,QA специалист в команду Биллинга,,,,https://belgorod.hh.ru/vacancy/47251783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО HeadHunter::QA,Москва
792,Junior разработчик Python Django,40000.0,80000.0,руб.,https://belgorod.hh.ru/vacancy/52203762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,ООО Инсейлс Рус,"Москва, Комсомольская"
793,Python разработчик,,380000.0,руб.,https://belgorod.hh.ru/vacancy/49590587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,https://belgorod.hh.ru/,Точка,Москва
